Ticker,YTD_Change,YTD_Return,1M_Change,1M_Return,3M_Change,3M_Return,6M_Change,6M_Return,12M_Change,12M_Return
AMT,-25.228716659029637,0.7477128334097036,-4.089397943501183,0.9591060205649882,-15.905431105277312,0.8409456889472269,-11.29659888283413,0.8870340111716587,-21.440364262782797,0.785596357372172
DPZ,-34.380534283264396,0.656194657167356,-0.9549274541393316,0.9904507254586067,3.6075072648871442,1.0360750726488714,-5.811847759240052,0.9418815224075995,-32.07215287181715,0.6792784712818285
DRE,-25.340764272498916,0.7465923572750108,0.0,1.0,-21.28041626116428,0.7871958373883572,-3.1739615409844713,0.9682603845901553,-21.035386566191306,0.789646134338087
IPGP,-45.67918863027499,0.5432081136972501,-0.22719681298822847,0.9977280318701177,6.323195575226248,1.0632319557522625,2.236061153790825,1.0223606115379082,-43.44036119446534,0.5655963880553466
ODFL,-13.62993103346194,0.8637006896653806,-4.759473555964988,0.9524052644403501,14.796621893890883,1.1479662189389088,23.49226157362616,1.2349226157362616,-16.034691827629356,0.8396530817237065
AMZN,-48.06181777707694,0.5193818222292306,-12.188712720030138,0.8781128727996986,-30.212113652110318,0.6978788634788968,-17.79975967442249,0.8220024032557751,-48.60695284441391,0.5139304715558609
WSPOF,-16.874737205614586,0.8312526279438541,-2.434692382812509,0.9756530761718749,-1.4686862357736419,0.9853131376422636,12.434147130608487,1.1243414713060849,-14.812901474447083,0.8518709852555292
BDX,1.2734447915116132,1.0127344479151161,9.887114985669786,1.0988711498566979,-2.5702960257384944,0.9742970397426151,5.654799514043729,1.0565479951404373,4.679959833449798,1.046799598334498
COWN,7.442969265362942,1.0744296926536294,-0.06469387053960052,0.999353061294604,0.2726651817974268,1.0027266518179743,68.7718666733246,1.687718666733246,8.377773002714829,1.0837777300271483
DXCM,-10.432225823173024,0.8956777417682698,0.5648489000243284,1.0056484890002433,30.77828895188013,1.3077828895188013,63.075086533505576,1.6307508653350558,-17.659313070595218,0.8234068692940478
EXR,-28.303610026464664,0.7169638997353533,-0.726336854654086,0.9927366314534591,-19.187664434045626,0.8081233556595437,-2.674927135739169,0.9732507286426083,-24.689766844160687,0.7531023315583931
GM,-36.87264535824231,0.6312735464175769,-6.091919548848956,0.9390808045115104,-4.724888128563864,0.9527511187143614,12.975428126662237,1.1297542812666224,-38.90997905748672,0.6109002094251328
TMO,-12.180579724217466,0.8781942027578253,5.139414482627114,1.0513941448262711,1.169122722397753,1.0116912272239775,10.025056237808027,1.1002505623780803,-11.851180273288852,0.8814881972671115
OXY,106.97039525901656,2.0697039525901655,-13.514056130089536,0.8648594386991046,-1.6146200411851885,0.9838537995881481,6.644002926204462,1.0664400292620446,108.9210357677763,2.089210357677763
TCYSF,-52.43243243243243,0.4756756756756757,0.8249326658720246,1.0082493266587202,-11.57555971829809,0.8842444028170191,-17.541230328501477,0.8245876967149852,-38.956716312064245,0.6104328368793576
CCI,-32.60903177205336,0.6739096822794663,-0.33601489141351637,0.9966398510858648,-17.22462185486531,0.8277537814513469,-12.637752824566107,0.8736224717543389,-27.54101949493655,0.7245898050506345
MOS,17.118689482967554,1.1711868948296755,-10.835387614135605,0.891646123858644,-10.53031904819498,0.8946968095180502,-12.199218132940171,0.8780078186705983,28.116487600521257,1.2811648760052126
HSY,22.379740789345547,1.2237974078934555,8.027183900193236,1.0802718390019324,6.078919636631319,1.0607891963663132,14.675737230616036,1.1467573723061604,26.77599719024255,1.2677599719024255
JNPR,-8.221157933210865,0.9177884206678913,6.403275786853224,1.0640327578685322,15.820837204869797,1.158208372048698,13.551431776148014,1.1355143177614802,-4.550002602969894,0.9544999739703011
ES,-5.20587852870208,0.9479412147129792,8.195673999248875,1.0819567399924888,-5.745204775708224,0.9425479522429178,4.85231564143247,1.0485231564143247,-3.857532425578891,0.9614246757442111
ADSK,-30.1635420354037,0.698364579645963,-13.400351072186679,0.8659964892781332,-4.89584195427345,0.9510415804572655,12.127209474040246,1.1212720947404025,-26.34200766184073,0.7365799233815927
PCAR,14.590862955367623,1.1459086295536762,-1.1986000039106215,0.9880139999608938,17.813156246742047,1.1781315624674205,18.101340933875232,1.1810134093387523,13.742427736007535,1.1374242773600753
WDC,-45.707571661977894,0.542924283380221,-9.949690141018086,0.9005030985898191,-8.964907307318493,0.9103509269268151,-28.338343098678166,0.7166165690132184,-38.14584615583385,0.6185415384416615
NEE,-6.393192642620393,0.9360680735737961,2.9888435555561976,1.029888435555562,-3.4436164051041884,0.9655638359489581,15.649009608162379,1.1564900960816238,-4.962334723210493,0.9503766527678951
LEG,-18.79243376473142,0.8120756623526858,-7.893286258822796,0.921067137411772,-11.61255682781489,0.8838744317218511,-4.614066943100925,0.9538593305689907,-19.899544179731087,0.8010045582026891
MSFT,-25.093353248693052,0.7490664675130695,1.4730279554278525,1.0147302795542785,-0.492085188353919,0.9950791481164608,-0.4011735497589042,0.995988264502411,-26.79687226459686,0.7320312773540314
CTAS,7.468937863205349,1.0746893786320535,2.6821587189134632,1.0268215871891346,11.532155029052337,1.1153215502905234,28.442402026868095,1.284424020268681,-0.5856685542809603,0.9941433144571904
BIO,-42.97544194302638,0.5702455805697362,-3.7435727673478802,0.9625642723265212,-12.521902282764529,0.8747809771723547,-12.711266133936617,0.8728873386606338,-43.78794960404664,0.5621205039595336
NCTKF,-16.655196977068954,0.8334480302293105,16.666662072859808,1.166666620728598,2.107925862031945,1.0210792586203195,11.61289613739942,1.1161289613739942,-16.655196977068954,0.8334480302293105
UDR,-33.47245833223478,0.6652754166776522,-0.6482227182100009,0.9935177728179,-13.688542225403754,0.8631145777459625,-7.19608814953685,0.9280391185046315,-31.74032589066612,0.6825967410933388
WEC,0.530754662990196,1.005307546629902,3.703700366857987,1.0370370036685799,-6.936420391092446,0.9306357960890755,5.1371368761415015,1.051371368761415,3.3376069802591557,1.0333760698025916
AME,-2.2482047530485993,0.977517952469514,1.1451179459835537,1.0114511794598355,13.947263644143003,1.13947263644143,25.08016028523661,1.250801602852366,-1.61821194997811,0.9838178805002189
ACN,-28.459513902581612,0.7154048609741839,0.42401013542550103,1.004240101354255,3.4811092259849907,1.03481109225985,3.6025480261956844,1.0360254802619568,-23.223696645109293,0.7677630335489071
VRSN,-22.184763713920617,0.7781523628607938,1.9699533749968579,1.0196995337499686,9.751044853583913,1.0975104485358391,19.709535532456112,1.1970953553245611,-19.828363251971627,0.8017163674802837
EW,-41.19136619311393,0.5880863380688607,1.1051532905276495,1.0110515329052765,-19.945906394416724,0.8005409360558328,-14.986483992021016,0.8501351600797898,-38.054004643260676,0.6194599535673933
CMG,-8.911853882127819,0.9108814611787218,2.233878246054566,1.0223387824605457,-9.468217055598661,0.9053178294440134,21.62759512447621,1.216275951244762,-10.537935508384122,0.8946206449161588
AWK,-14.904416289996213,0.8509558371000379,7.369470126691646,1.0736947012669165,2.99395816540291,1.029939581654029,16.053179059318623,1.1605317905931862,-11.039509556494554,0.8896049044350545
COO,-25.323769711289668,0.7467623028871033,-2.9245854880789346,0.9707541451192107,3.0320332194870625,1.0303203321948706,-0.16014615610998595,0.9983985384389001,-21.208518435610145,0.7879148156438985
SHW,-26.32991111458275,0.7367008888541725,5.306860582690964,1.0530686058269096,8.217101780537961,1.0821710178053796,9.100832279997784,1.0910083227999778,-27.89066328212747,0.7210933671787253
AMAT,-32.720563120231205,0.672794368797688,-2.650864324197022,0.9734913567580298,19.039715898530662,1.1903971589853066,10.449600181188323,1.1044960018118832,-29.548876131658584,0.7045112386834141
MLM,-19.562197437972173,0.8043780256202783,-2.501448824518404,0.974985511754816,3.98409850887127,1.0398409850887127,10.89024692931555,1.1089024692931555,-19.62810187149291,0.8037189812850709
